audit_id,gold_label,gold_label_name,augmented_field,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_severity,review_error_types,review_notes
A0081,2,contradiction,hypothesis,People sitting in a room talking to a panel.,The people are at a party.,People sitting in a room talking to a panel.,People are at a party.,The people are at a party.,People are at a party.,,,,,,
A0082,0,entailment,hypothesis,Several people are holding containers of alcohol in a room.,People holding containers on alcohol.,Several people are holding containers of alcohol in a room.,People holding liquor containers.,People holding containers on alcohol.,People holding liquor containers.,,,,,,
A0083,2,contradiction,hypothesis,A surfer in the distance is at the base of the wave close to the shore.,A man surfs the internet at home.,A surfer in the distance is at the base of the wave close to the shore.,A man surfing the Internet at home.,A man surfs the internet at home.,A man surfing the Internet at home.,,,,,,
A0084,1,neutral,premise,A man in a black sweatshirt and jeans holds a black acoustic guitar and converses with a passerby.,A man holds his guitar and talks to a man who just gave him a tip.,A man in a black sweatshirt and jeans holds a black acoustic guitar and speaks to a passerby.,A man holds his guitar and talks to a man who just gave him a tip.,A man in a black sweatshirt and jeans holds a black acoustic guitar and converses with a passerby.,A man in a black sweatshirt and jeans holds a black acoustic guitar and speaks to a passerby.,,,,,,
A0085,2,contradiction,hypothesis,Two women observing a fountain in a park.,two women dig up their yard for a garden,Two women observing a fountain in a park.,Two women are digging their garden for a garden.,two women dig up their yard for a garden,Two women are digging their garden for a garden.,,,,,,
A0086,2,contradiction,hypothesis,A man sits under an umbrella beside a pond while he works.,A woman is swimming in a pool.,A man sits under an umbrella beside a pond while he works.,There's a woman swimming in a pool.,A woman is swimming in a pool.,There's a woman swimming in a pool.,,,,,,
A0087,1,neutral,premise,People walk down the busy sidewalk.,People happily walk down the sidewalk.,People are walking down the busy sidewalk.,People happily walk down the sidewalk.,People walk down the busy sidewalk.,People are walking down the busy sidewalk.,,,,,,
A0088,1,neutral,premise,"Construction worker, welding on high beam.",The worker gets paid,"Construction worker, high beam welding.",The worker gets paid,"Construction worker, welding on high beam.","Construction worker, high beam welding.",,,,,,
A0089,1,neutral,premise,A man hiking with a large backpack and two poles near a collection of pointy white rocks.,The man hiking is caucasian.,A man walking with a big backpack and two poles near a collection of sharp white stones.,The man hiking is caucasian.,A man hiking with a large backpack and two poles near a collection of pointy white rocks.,A man walking with a big backpack and two poles near a collection of sharp white stones.,,,,,,
A0090,2,contradiction,premise,"At a brick-floored area near the beach, a middle-aged white man surrounded by a white family is sitting and painting a portrait of someone.",A woman is drawing dogs at the beach.,"In a brick area near the beach, a middle-aged white man, surrounded by a white family, is sitting and painting a portrait of someone.",A woman is drawing dogs at the beach.,"At a brick-floored area near the beach, a middle-aged white man surrounded by a white family is sitting and painting a portrait of someone.","In a brick area near the beach, a middle-aged white man, surrounded by a white family, is sitting and painting a portrait of someone.",,,,,,
