audit_id,gold_label,gold_label_name,augmented_field,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_severity,review_error_types,review_notes
A0201,2,contradiction,premise,A girl sitting in the back of a cart full of various belongings.,A boy carries his belongings in his arms.,A girl sitting in the back of a wagon full of various items.,A boy carries his belongings in his arms.,A girl sitting in the back of a cart full of various belongings.,A girl sitting in the back of a wagon full of various items.,,,,,,
A0202,1,neutral,hypothesis,A boy in a blue life jacket jumps into the water.,There is a boy jumping into the water to play.,A boy in a blue life jacket jumps into the water.,There's a boy who jumps into the water to play.,There is a boy jumping into the water to play.,There's a boy who jumps into the water to play.,,,,,,
A0203,0,entailment,hypothesis,A young male holding a fishing pole.,A man carries his fishing rod.,A young male holding a fishing pole.,A man is carrying his fishing rod.,A man carries his fishing rod.,A man is carrying his fishing rod.,,,,,,
A0204,0,entailment,hypothesis,"A group of people sit in folding chairs in a small area under two umbrellas outdoors, with a few cars parked in the background.",A group of people are sitting outdoors.,"A group of people sit in folding chairs in a small area under two umbrellas outdoors, with a few cars parked in the background.",There's a group of people sitting outside.,A group of people are sitting outdoors.,There's a group of people sitting outside.,,,,,,
A0205,2,contradiction,hypothesis,"Three dogs run on beach, two playing with unknown object.",Three dogs are swimming in the ocean.,"Three dogs run on beach, two playing with unknown object.",Three dogs swimming in the ocean.,Three dogs are swimming in the ocean.,Three dogs swimming in the ocean.,,,,,,
A0206,0,entailment,hypothesis,Old man is fixing overturned bike.,Man is fixing a bike.,Old man is fixing overturned bike.,The man is fixing a bike.,Man is fixing a bike.,The man is fixing a bike.,,,,,,
A0207,1,neutral,hypothesis,Men share an item on mini trains.,men at a mini train convention,Men share an item on mini trains.,men at a mini train conference,men at a mini train convention,men at a mini train conference,,,,,,
A0208,0,entailment,hypothesis,A young blond boy looking at a white robot on a green table.,A young blond person looking at a white robot on a green table.,A young blond boy looking at a white robot on a green table.,A young blonde looking at a white robot on a green table.,A young blond person looking at a white robot on a green table.,A young blonde looking at a white robot on a green table.,,,,,,
A0209,0,entailment,premise,"A woman holding a girl, who wears an apple themed coat.",Woman holds a girl wearing a coat.,"A woman holding a girl, wearing an apple-themed coat.",Woman holds a girl wearing a coat.,"A woman holding a girl, who wears an apple themed coat.","A woman holding a girl, wearing an apple-themed coat.",,,,,,
A0210,1,neutral,hypothesis,The men are talking to the person in the police van.,There is a criminal in the back of a police van.,The men are talking to the person in the police van.,There's a criminal in the back of a police van.,There is a criminal in the back of a police van.,There's a criminal in the back of a police van.,,,,,,
A0211,1,neutral,premise,A man wearing black and white stripes is trying to stop a horse.,A man is trying to keep the horse from running into the crowd.,A man in black and white stripes is trying to stop a horse.,A man is trying to keep the horse from running into the crowd.,A man wearing black and white stripes is trying to stop a horse.,A man in black and white stripes is trying to stop a horse.,,,,,,
A0212,2,contradiction,premise,A baby that is smiling big.,A kid is crying.,A baby who smiles big.,A kid is crying.,A baby that is smiling big.,A baby who smiles big.,,,,,,
A0213,1,neutral,hypothesis,A man walks on a fancy sidewalk next to an abandoned bar.,the man is going to meet a friend for drinks,A man walks on a fancy sidewalk next to an abandoned bar.,the man is going to meet a friend to drink,the man is going to meet a friend for drinks,the man is going to meet a friend to drink,,,,,,
A0214,1,neutral,hypothesis,A young girl expanding the time of childhood through colorful play.,The girl is painting with all the colours of the rainbow.,A young girl expanding the time of childhood through colorful play.,The girl paints with all the colors of the rainbow.,The girl is painting with all the colours of the rainbow.,The girl paints with all the colors of the rainbow.,,,,,,
A0215,2,contradiction,premise,A man in pants scaling the side of a cliff.,A woman climbs the side of a building.,A man in pants climbs the side of a cliff.,A woman climbs the side of a building.,A man in pants scaling the side of a cliff.,A man in pants climbs the side of a cliff.,,,,,,
A0216,2,contradiction,premise,A man is standing while playing the drums for an audience.,A man is playing the piano.,A man is standing there playing drums for an audience.,A man is playing the piano.,A man is standing while playing the drums for an audience.,A man is standing there playing drums for an audience.,,,,,,
A0217,2,contradiction,premise,A small kid wearing a helmet smiles while his father is doing some adjustment at its back.,The kid is flying through the sky wearing a cape.,A little boy wearing a helmet smiles as his father makes adjustments to his back.,The kid is flying through the sky wearing a cape.,A small kid wearing a helmet smiles while his father is doing some adjustment at its back.,A little boy wearing a helmet smiles as his father makes adjustments to his back.,,,,,,
A0218,2,contradiction,hypothesis,Someone in a blue coat and white sneakers is airborne.,The person is laying on the ground.,Someone in a blue coat and white sneakers is airborne.,The person is lying on the floor.,The person is laying on the ground.,The person is lying on the floor.,,,,,,
A0219,0,entailment,hypothesis,A little boy in red stands on top of a rock with a smile and outstretched arms.,A little boy in red is outdoors.,A little boy in red stands on top of a rock with a smile and outstretched arms.,There's a little boy in red outside.,A little boy in red is outdoors.,There's a little boy in red outside.,,,,,,
A0220,1,neutral,hypothesis,A woman dressed in black boots and a black trench coat is walking down the middle of the street.,The woman walking down the street trips and falls.,A woman dressed in black boots and a black trench coat is walking down the middle of the street.,The woman walking down the street stumbles and falls.,The woman walking down the street trips and falls.,The woman walking down the street stumbles and falls.,,,,,,
A0221,2,contradiction,hypothesis,A man dressed in a green jacket is playing piano while a woman sings.,A man is burning a piano.,A man dressed in a green jacket is playing piano while a woman sings.,A man burns a piano.,A man is burning a piano.,A man burns a piano.,,,,,,
A0222,0,entailment,hypothesis,"Two cyclists competing in road race, one in front of the other.",Two people are racing.,"Two cyclists competing in road race, one in front of the other.",Two people are in a race.,Two people are racing.,Two people are in a race.,,,,,,
