audit_id,gold_label,gold_label_name,augmented_field,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_severity,review_error_types,review_notes
A0001,0,entailment,hypothesis,Three dogs playing in the snow.,Dogs play outside.,Three dogs playing in the snow.,The dogs are playing outside.,Dogs play outside.,The dogs are playing outside.,,,,,,
A0002,2,contradiction,hypothesis,"Man performing stunt, lady breaking block on his stomach with sludge hammer.",Nobody is performing.,"Man performing stunt, lady breaking block on his stomach with sludge hammer.",No one's playing.,Nobody is performing.,No one's playing.,,,,,,
A0003,2,contradiction,hypothesis,A child is interacting with an electronics laboratory kit.,A child is bored and has no toys.,A child is interacting with an electronics laboratory kit.,A child gets bored and has no toys.,A child is bored and has no toys.,A child gets bored and has no toys.,,,,,,
A0004,2,contradiction,premise,Young African people drum in the streets.,Asian girls dancing in the streets.,Young Africans are playing drums in the streets.,Asian girls dancing in the streets.,Young African people drum in the streets.,Young Africans are playing drums in the streets.,,,,,,
A0005,2,contradiction,hypothesis,A bunch of police officers are standing outside a bus.,The police officers are driving in a car.,A bunch of police officers are standing outside a bus.,The cops are driving in a car.,The police officers are driving in a car.,The cops are driving in a car.,,,,,,
A0006,0,entailment,hypothesis,Five men wearing black shorts are leaving the starting blocks in a track competition with few spectators.,Five men are racing.,Five men wearing black shorts are leaving the starting blocks in a track competition with few spectators.,Five men are in the race.,Five men are racing.,Five men are in the race.,,,,,,
A0007,2,contradiction,hypothesis,The men are waving as they are standing in snow.,A group of men are enjoying a day at the pool.,The men are waving as they are standing in snow.,A group of men enjoying a day at the pool.,A group of men are enjoying a day at the pool.,A group of men enjoying a day at the pool.,,,,,,
A0008,2,contradiction,premise,People are sitting at a park under flowering trees.,The people are standing in the desert.,People are sitting in a park under flowering trees.,The people are standing in the desert.,People are sitting at a park under flowering trees.,People are sitting in a park under flowering trees.,,,,,,
A0009,2,contradiction,hypothesis,A chef is preparing some food.,In the kitchen the man washes dishes.,A chef is preparing some food.,"In the kitchen, the man washes the dishes.",In the kitchen the man washes dishes.,"In the kitchen, the man washes the dishes.",,,,,,
A0010,1,neutral,premise,A street vendor is sitting on the ground in front of the shirts he is selling.,The street vendor looks tired.,A street vendor is sitting on the floor in front of the shirts he sells.,The street vendor looks tired.,A street vendor is sitting on the ground in front of the shirts he is selling.,A street vendor is sitting on the floor in front of the shirts he sells.,,,,,,
A0011,2,contradiction,hypothesis,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",Nobody has food.,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",No one has food.,Nobody has food.,No one has food.,,,,,,
A0012,1,neutral,premise,Two men in orange outfits clean up garbage spilled on the street.,Two men are cleaning up garbage that was spilled after a block party.,Two men dressed in orange are cleaning the trash on the street.,Two men are cleaning up garbage that was spilled after a block party.,Two men in orange outfits clean up garbage spilled on the street.,Two men dressed in orange are cleaning the trash on the street.,,,,,,
A0013,0,entailment,hypothesis,One lone skier is making his way down a snowy mountain slope which has many ski track marks visible on the snow pack and a ski lift in the background.,A man is outdoors.,One lone skier is making his way down a snowy mountain slope which has many ski track marks visible on the snow pack and a ski lift in the background.,There's a man outside.,A man is outdoors.,There's a man outside.,,,,,,
