audit_id,gold_label,gold_label_name,augmented_field,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_severity,review_error_types,review_notes
A0161,1,neutral,hypothesis,A gentleman in jeans and a black sweatshirt is excitedly speaking on a cellphone.,A man talking with his wife on the phone.,A gentleman in jeans and a black sweatshirt is excitedly speaking on a cellphone.,A man talking to his wife on the phone.,A man talking with his wife on the phone.,A man talking to his wife on the phone.,,,,,,
A0162,2,contradiction,premise,A woman talks on a cellphone on an Asian market street.,A woman is sleeping.,A woman is talking on her cell phone on a street in the Asian market.,A woman is sleeping.,A woman talks on a cellphone on an Asian market street.,A woman is talking on her cell phone on a street in the Asian market.,,,,,,
A0163,1,neutral,premise,A man in a unique costume is playing the bagpipes while some people stare at him.,A man in a unique costume is playing the bagpipes  for monetary gain.,A man in a unique suit plays a pipe while people watch him.,A man in a unique costume is playing the bagpipes  for monetary gain.,A man in a unique costume is playing the bagpipes while some people stare at him.,A man in a unique suit plays a pipe while people watch him.,,,,,,
A0164,1,neutral,hypothesis,a woman is walking beside a subway.,The woman is in a rush.,a woman is walking beside a subway.,The woman's in a hurry.,The woman is in a rush.,The woman's in a hurry.,,,,,,
A0165,2,contradiction,premise,Two white dogs play together on a slightly snowy patch of green grass.,dog chasing man on snow,Two white dogs playing together on a slightly snowy field of green grass.,dog chasing man on snow,Two white dogs play together on a slightly snowy patch of green grass.,Two white dogs playing together on a slightly snowy field of green grass.,,,,,,
A0166,1,neutral,hypothesis,Four band members singing and playing.,They play a gig at a bar,Four band members singing and playing.,They're playing a concert in a bar.,They play a gig at a bar,They're playing a concert in a bar.,,,,,,
A0167,1,neutral,premise,The woman talks on her cellular phone while walking on a city street.,The streets are crowded.,The woman is talking on her cell phone as she walks down a street in the city.,The streets are crowded.,The woman talks on her cellular phone while walking on a city street.,The woman is talking on her cell phone as she walks down a street in the city.,,,,,,
A0168,1,neutral,hypothesis,A young girl holds a crying infant.,A blonde girl holds her baby sister.,A young girl holds a crying infant.,A blonde is holding her little sister.,A blonde girl holds her baby sister.,A blonde is holding her little sister.,,,,,,
A0169,1,neutral,hypothesis,A street vendor is sitting on the ground in front of the shirts he is selling.,The street vendor looks tired.,A street vendor is sitting on the ground in front of the shirts he is selling.,The street vendor seems tired.,The street vendor looks tired.,The street vendor seems tired.,,,,,,
A0170,0,entailment,premise,A group of well-dressed young people stand in front of a congregation.,There are several people in the room.,A group of well-dressed youths are standing in front of a congregation.,There are several people in the room.,A group of well-dressed young people stand in front of a congregation.,A group of well-dressed youths are standing in front of a congregation.,,,,,,
