audit_id,gold_label,gold_label_name,augmented_field,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_severity,review_error_types,review_notes
A0041,0,entailment,premise,A man and a woman are walking in a street.,a man and a woman walk down the street,A man and a woman are walking down a street.,a man and a woman walk down the street,A man and a woman are walking in a street.,A man and a woman are walking down a street.,,,,,,
A0042,0,entailment,premise,a lone skier walking cross a snowy bank with trees in the background,A person is out in the outdoors.,a lonely skier crossing a snowy bank with trees in the background,A person is out in the outdoors.,a lone skier walking cross a snowy bank with trees in the background,a lonely skier crossing a snowy bank with trees in the background,,,,,,
A0043,2,contradiction,hypothesis,A woman wearing a black stands in front of a counter while she holds a piece of meat.,The woman is naked while holding a salad.,A woman wearing a black stands in front of a counter while she holds a piece of meat.,The woman is naked holding a salad.,The woman is naked while holding a salad.,The woman is naked holding a salad.,,,,,,
A0044,2,contradiction,hypothesis,A woman pushing a shopping cart at a grocery store.,A woman carrying her bags to the car,A woman pushing a shopping cart at a grocery store.,There's a woman carrying her bags in the car.,A woman carrying her bags to the car,There's a woman carrying her bags in the car.,,,,,,
A0045,2,contradiction,premise,A young long-haired girl is out skipping on the sidewalk on a sunny day.,The boy is rolling a can down the street in the rain.,A young girl with long hair jumps on the sidewalk on a sunny day.,The boy is rolling a can down the street in the rain.,A young long-haired girl is out skipping on the sidewalk on a sunny day.,A young girl with long hair jumps on the sidewalk on a sunny day.,,,,,,
A0046,2,contradiction,premise,A man is leaning his head on a fancy coffin in a church.,A man is leaning his head against a pulpit.,A man leans his head on a luxury coffin in a church.,A man is leaning his head against a pulpit.,A man is leaning his head on a fancy coffin in a church.,A man leans his head on a luxury coffin in a church.,,,,,,
A0047,1,neutral,premise,A middle-aged man riding his black motorcycle through a neighborhood.,The man is headed home on his motorcycle.,A middle-aged man drives his black motorcycle through a neighborhood.,The man is headed home on his motorcycle.,A middle-aged man riding his black motorcycle through a neighborhood.,A middle-aged man drives his black motorcycle through a neighborhood.,,,,,,
A0048,1,neutral,hypothesis,Several people walk by a rickshaw containing a sleeping cat.,People walking as a group in a tour,Several people walk by a rickshaw containing a sleeping cat.,People walk in groups on tour.,People walking as a group in a tour,People walk in groups on tour.,,,,,,
A0049,0,entailment,premise,A big group of people are enjoying a public event.,People are enjoying a public event.,A large group of people enjoy a public event.,People are enjoying a public event.,A big group of people are enjoying a public event.,A large group of people enjoy a public event.,,,,,,
A0050,0,entailment,premise,A dog is standing in the snow watching the camera,The dog is experiencing cold weather.,A dog is standing in the snow and looking at the camera.,The dog is experiencing cold weather.,A dog is standing in the snow watching the camera,A dog is standing in the snow and looking at the camera.,,,,,,
